symbol;Industry;Sector;Country;Year;GDP;LnGDPperCapita;EPU;TotalAssets;TotalCapitalization;TotalDebt;TotalEquityGrossMinorityInterest;TotalLiabilitiesNetMinorityInterest;TotalNonCurrentAssets;TotalNonCurrentLiabilitiesNetMinorityInterest;CashAndCashEquivalents;NetIncome;FreeCashFlow;EBIT;BasicEPS;DilutedEPS;DividendsPayable;TotalRevenue
000032.SZ;Electronic Components;Technology;China;2019;10143.8382;9.224621726;791.8737477;8866368000;6821280000;3357216000;3780936000;5085432000;6774300000;4874900000;473616000;1381464000;258912000;1812816000;3.04992;3.04272;0;6127128000
000032.SZ;Electronic Components;Technology;China;2020;10408.66976;9.250394368;747.1823239;11134512000;8863776000;4314816000;4699728000;6434784000;9018400000;6795700000;859968000;1513800000;806904000;1960920000;3.33576;мар.28;0;6552360000
000063.SZ;Communication Equipment;Technology;China;2020;10408.66976;9.250394368;747.1823239;11134512000;8863776000;4314816000;4699728000;6434784000;9018400000;6795700000;859968000;1513800000;806904000;1960920000;1.66788;янв.14;0;6552360000
000063.SZ;Communication Equipment;Technology;China;2021;12556.33312;9.437980448;508.8947197;461001600;210186720;50438880;191574720;269426880;246709000;68008000;123137280;36000000;-962640;57900240;0.633384;0.428976;0;854186400
000066.SZ;Computer Hardware;Technology;China;2022;12933.02311;9.467539251;716.9235693;391535280;213478560;57215520;182423520;209111760;178767000;79900000;102378240;-15747840;-30906000;5723280;-0.316512;-0.316512;0;644207040
000066.SZ;Computer Hardware;Technology;China;2020;10408.66976;9.250394368;747.1823239;1976878.8;1799546.4;27959.76;1799546.4;177332.4;1834157;16505;504462.24;-1701115.2;-1686325.68;-1712512.8;-0.055224;-0.055224;0;фев.16
000066.SZ;Computer Hardware;Technology;China;2021;12556.33312;9.437980448;508.8947197;2036858.4;1836416.88;99527.04;1748773.44;288084.96;1563482;121727;850152.96;-2346238.08;-2248092;-2342869.2;-0.050616;-0.050616;0;0
000069.SZ;Lodging;Consumer Cyclical;China;2022;12933.02311;9.467539251;716.9235693;2244138.48;2103480;160004.16;1968894;275244.48;1381383;199432;1188040.32;-1773409.68;-1583914.32;-1716724.08;-0.025704;-0.025704;0;0
000069.SZ;Lodging;Consumer Cyclical;China;2019;10143.8382;9.224621726;791.8737477;34414560;21471840;8221680;21108960;13305600;45652000;6640000;1004400;-7027920;-15271200;-6472800;-0.003816;-0.003816;0;44640
000069.SZ;Lodging;Consumer Cyclical;China;2020;10408.66976;9.250394368;747.1823239;47397600;41316480;5911920;39479040;7918560;64366000;1684000;879840;-12639600;-10007280;-12488400;-0.004752;-0.004752;0;50400
000100.SZ;Semiconductor Equipment & Materials;Technology;China;2019;10143.8382;9.224621726;791.8737477;487427563;334377743;169877911;267960406;219467157;1984078000;674888000;17925103;8383900;28036127;25830938;0.07105;0.07105;2095975;217791595
000157.SZ;Farm & Heavy Construction Machinery;Industrials;China;2020;10408.66976;9.250394368;747.1823239;515742206;349442982;212270604;248407852;267334354;1971670000;840437000;46504661;-19775448;10384668;-3554124;-0.167475;-0.167475;807534;188543761
000157.SZ;Farm & Heavy Construction Machinery;Industrials;China;2021;12556.33312;9.437980448;508.8947197;516072487;322104566;217500087;245515102;270557385;2052941000;743265000;25843930;-1141875;9872905;17615528;-0.00971355;-0.00971355;400925;230724116
000301.SZ;Textile Manufacturing;Consumer Cyclical;China;2020;10408.66976;9.250394368;747.1823239;25414909800;15401427300;972836900;15255673300;10159236500;89854000000;16567700000;3469330900;2310018200;2875109300;3102043000;0.15225;0.15022;498304100;11850937000
