Country;Year;Corruption Control;Regulatory Quality;Rule of Law;Government Effectiveness;;;;;;;;;;;;;
Brazil;2019;-0.386171013116837;-0.109311006963253;-0.203433260321617;-0.206858992576599;;;;;;;;;;;;;
Brazil;2020;-0.407126694917679;-0.0972420945763588;-0.209849342703819;-0.4376100897789;;;;;;;;;;;;;
Brazil;2021;-0.477816075086594;-0.110795244574547;-0.280396819114685;-0.46029195189476;;;;;;;;;;;;;
Brazil;2022;-0.477816075086594;-0.110795244574547;-0.280396819114685;-0.46029195189476;;;;;;;;;;;;;
China;2019;-0.28900557756424;-0.288801491260529;-0.243998482823372;0.563922524452209;;;;;;;;;;;;;
China;2020;-0.0469113029539585;-0.185245841741562;-0.0785589143633842;0.67731511592865;;;;;;;;;;;;;
China;2021;0.0536937415599823;-0.313303291797638;0.0351645424962044;0.840674877166748;;;;;;;;;;;;;
China;2022;0.0536937415599823;-0.313303291797638;0.0351645424962044;0.840674877166748;;;;;;;;;;;;;
India;2019;-0.279873192310333;-0.137945577502251;-0.04256996139884;0.160742476582527;;;;;;;;;;;;;
India;2020;-0.270809292793274;-0.114247776567936;-0.0319724306464195;0.405513286590576;;;;;;;;;;;;;
India;2021;-0.294859200716019;-0.0787950754165649;-0.0809262245893478;0.282362580299377;;;;;;;;;;;;;
India;2022;-0.294859200716019;-0.0787950754165649;-0.0809262245893478;0.282362580299377;;;;;;;;;;;;;
Russia;2019;-0.802163481712341;-0.46409547328949;-0.752920866012573;0.0652898773550987;;;;;;;;;;;;;
Russia;2020;-0.909426033496857;-0.468022495508194;-0.787609994411469;-0.0776575356721878;;;;;;;;;;;;;
Russia;2021;-0.900473713874817;-0.529822111129761;-0.869817554950714;-0.176100715994835;;;;;;;;;;;;;
Russia;2022;-0.900473713874817;-0.529822111129761;-0.869817554950714;-0.176100715994835;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;Parameter;Std. Err.;T-stat;P-value;Lower CI;Upper CI;;;;;;;;
;;;;;Size;1.909e+07;6.65e+06;фев.08;0.0041;6.049e+06;3.213e+07;;Dep. Variable:;DividendsPayable;R-squared:;0.0491;;
